 x, y, z, ix, iy, iz
      -0.10699999E-03,     -0.15000000E-04,      0.10900000E-03,      47,      -2,      60
      -0.10499999E-03,     -0.15000000E-04,      0.10900000E-03,      48,      -2,      60
      -0.10300000E-03,     -0.15000000E-04,      0.10900000E-03,      49,      -2,      60
      -0.10100000E-03,     -0.15000000E-04,      0.10900000E-03,      50,      -2,      60
      -0.98999997E-04,     -0.15000000E-04,      0.10900000E-03,      51,      -2,      60
      -0.96999996E-04,     -0.15000000E-04,      0.10900000E-03,      52,      -2,      60
      -0.94999996E-04,     -0.15000000E-04,      0.10900000E-03,      53,      -2,      60
      -0.92999995E-04,     -0.15000000E-04,      0.10900000E-03,      54,      -2,      60
      -0.90999994E-04,     -0.15000000E-04,      0.10900000E-03,      55,      -2,      60
      -0.88999994E-04,     -0.15000000E-04,      0.10900000E-03,      56,      -2,      60
      -0.86999993E-04,     -0.15000000E-04,      0.10900000E-03,      57,      -2,      60
      -0.84999992E-04,     -0.15000000E-04,      0.10900000E-03,      58,      -2,      60
      -0.82999992E-04,     -0.15000000E-04,      0.10900000E-03,      59,      -2,      60
      -0.80999998E-04,     -0.15000000E-04,      0.10900000E-03,      60,      -2,      60
      -0.78999998E-04,     -0.15000000E-04,      0.10900000E-03,      61,      -2,      60
      -0.76999997E-04,     -0.15000000E-04,      0.10900000E-03,      62,      -2,      60
      -0.74999996E-04,     -0.15000000E-04,      0.10900000E-03,      63,      -2,      60
      -0.72999996E-04,     -0.15000000E-04,      0.10900000E-03,      64,      -2,      60
      -0.70999995E-04,     -0.15000000E-04,      0.10900000E-03,      65,      -2,      60
      -0.68999994E-04,     -0.15000000E-04,      0.10900000E-03,      66,      -2,      60
      -0.66999994E-04,     -0.15000000E-04,      0.10900000E-03,      67,      -2,      60
      -0.64999993E-04,     -0.15000000E-04,      0.10900000E-03,      68,      -2,      60
      -0.62999992E-04,     -0.15000000E-04,      0.10900000E-03,      69,      -2,      60
      -0.60999995E-04,     -0.15000000E-04,      0.10900000E-03,      70,      -2,      60
      -0.58999995E-04,     -0.15000000E-04,      0.10900000E-03,      71,      -2,      60
      -0.56999994E-04,     -0.15000000E-04,      0.10900000E-03,      72,      -2,      60
      -0.54999997E-04,     -0.15000000E-04,      0.10900000E-03,      73,      -2,      60
      -0.52999996E-04,     -0.15000000E-04,      0.10900000E-03,      74,      -2,      60
      -0.50999995E-04,     -0.15000000E-04,      0.10900000E-03,      75,      -2,      60
      -0.48999995E-04,     -0.15000000E-04,      0.10900000E-03,      76,      -2,      60
      -0.46999994E-04,     -0.15000000E-04,      0.10900000E-03,      77,      -2,      60
      -0.44999997E-04,     -0.15000000E-04,      0.10900000E-03,      78,      -2,      60
      -0.42999996E-04,     -0.15000000E-04,      0.10900000E-03,      79,      -2,      60
      -0.40999996E-04,     -0.15000000E-04,      0.10900000E-03,      80,      -2,      60
      -0.38999995E-04,     -0.15000000E-04,      0.10900000E-03,      81,      -2,      60
      -0.36999994E-04,     -0.15000000E-04,      0.10900000E-03,      82,      -2,      60
